name,star,time
我不是药神,"<p class=""star"">
                主演：徐峥,周一围,王传君
        </p>","<p class=""releasetime"">上映时间：2018-07-05</p>"
肖申克的救赎,"<p class=""star"">
                主演：蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿
        </p>","<p class=""releasetime"">上映时间：1994-09-10(加拿大)</p>"
绿皮书,"<p class=""star"">
                主演：维果·莫腾森,马赫沙拉·阿里,琳达·卡德里尼
        </p>","<p class=""releasetime"">上映时间：2019-03-01</p>"
海上钢琴师,"<p class=""star"">
                主演：蒂姆·罗斯,比尔·努恩,克兰伦斯·威廉姆斯三世
        </p>","<p class=""releasetime"">上映时间：2019-11-15</p>"
哪吒之魔童降世,"<p class=""star"">
                主演：吕艳婷,囧森瑟夫,瀚墨
        </p>","<p class=""releasetime"">上映时间：2019-07-26</p>"
小偷家族,"<p class=""star"">
                主演：中川雅也,安藤樱,松冈茉优
        </p>","<p class=""releasetime"">上映时间：2018-08-03</p>"
霸王别姬,"<p class=""star"">
                主演：张国荣,张丰毅,巩俐
        </p>","<p class=""releasetime"">上映时间：1993-07-26</p>"
美丽人生,"<p class=""star"">
                主演：罗伯托·贝尼尼,朱斯蒂诺·杜拉诺,赛尔乔·比尼·布斯特里克
        </p>","<p class=""releasetime"">上映时间：2020-01-03</p>"
盗梦空间,"<p class=""star"">
                主演：莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特
        </p>","<p class=""releasetime"">上映时间：2010-09-01</p>"
这个杀手不太冷,"<p class=""star"">
                主演：让·雷诺,加里·奥德曼,娜塔莉·波特曼
        </p>","<p class=""releasetime"">上映时间：1994-09-14(法国)</p>"
天使爱美丽,"<p class=""star"">
                主演：奥黛丽·塔图,马修·卡索维茨,吕菲斯
        </p>","<p class=""releasetime"">上映时间：2001-04-25(比利时)</p>"
让子弹飞,"<p class=""star"">
                主演：姜文,周润发,葛优
        </p>","<p class=""releasetime"">上映时间：2010-12-16</p>"
