disp,km,name,price,time,trans,url
<span>1.6L</span>,<span>3.15万公里</span>,标致301 2014款 1.6L 手动舒适版,3.68,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741144a36e219044c6a355b2a0dfa6dfe841e.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>手动</span>,https://www.guazi.com/weifang/657840d8d76c0f8dx.htm#fr_page=list&fr_pos=city&fr_no=0
<span>2.0L</span>,<span>0.16万公里</span>,丰田 亚洲龙 2019款 2.0L 豪华版,21.00,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn20041617412373a8deb89da6b5b746c1be961d7380c0.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/km/85bede42960742e7x.htm#fr_page=list&fr_pos=city&fr_no=36
<span>2.4L</span>,<span>3.96万公里</span>,别克GL8 2014款 2.4L 行政版,10.76,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174112d49d8d1cfe03676aad188b2be1136a43.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/sh/ab4c322e812d7194x.htm#fr_page=list&fr_pos=city&fr_no=35
<span>1.6T</span>,<span>13.51万公里</span>,别克 君威 2015款 1.6T 时尚技术型,8.90,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn20041617411333eaa6cd35ec618eb63d208d43108adb.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/zz/2102f9d9a7c95a28x.htm#fr_page=list&fr_pos=city&fr_no=33
<span>2.0L</span>,<span>6.45万公里</span>,起亚 智跑 2015款 2.0L 手动两驱版GL,6.98,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174114b96a36fc249cb46c5a1436aa1128de92.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>手动</span>,https://www.guazi.com/jn/68626e5f9a41b048x.htm#fr_page=list&fr_pos=city&fr_no=31
<span>1.6L</span>,<span>8.39万公里</span>,MINI Countryman 2011款 1.6L COOPER Fun,9.99,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174108a0d2590d9c905754a858fc52c389e146.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/zz/3b38530cdc0a4027x.htm#fr_page=list&fr_pos=city&fr_no=34
<span>1.5L</span>,<span>3.59万公里</span>,吉利 帝豪 2018款 1.5L CVT向上互联版,5.68,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn20041617411804a3be7aa17a941f46f2575f44a66e11.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/cs/c8765806f3c4376ex.htm#fr_page=list&fr_pos=city&fr_no=30
<span>2.0L</span>,<span>13.89万公里</span>,宝马3系 2011款 320i 时尚型,8.98,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn20041617410819bd065c3813ccdaf1f81dfb124c0b39.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/hrb/d6b60b665f802987x.htm#fr_page=list&fr_pos=city&fr_no=39
<span>1.6L</span>,<span>7.38万公里</span>,斯柯达 昕动 2016款 改款 1.6L 手动前行版,4.68,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn20041617411539fc2eee31472b2fac272e92d9dfab1b.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>手动</span>,https://www.guazi.com/sy/ba9c2a16635313a0x.htm#fr_page=list&fr_pos=city&fr_no=28
<span>2.0T</span>,<span>9.64万公里</span>,宝马5系 2014款 520i 典雅型(进口),20.80,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn20041617411175e23982a320e9edd959d2dfbf0bfdc2.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/tangshan/cf183d85022c494cx.htm#fr_page=list&fr_pos=city&fr_no=38
